Data Table for Daily Death Trends - North Carolina,,,
Date generated: Sat Mar 05 2022 21:13:50 GMT-0500 (Eastern Standard Time),,,
State,Date,New Deaths,Day
North Carolina,Apr 10 2021,13,405
North Carolina,Apr  9 2021,8,404
North Carolina,Apr  8 2021,16,403
North Carolina,Apr  7 2021,3,402
North Carolina,Apr  6 2021,10,401
North Carolina,Apr  5 2021,8,400
North Carolina,Apr  4 2021,15,399
North Carolina,Apr  3 2021,10,398
North Carolina,Apr  2 2021,11,397
North Carolina,Apr  1 2021,9,396
North Carolina,Mar 31 2021,18,395
North Carolina,Mar 30 2021,9,394
North Carolina,Mar 29 2021,10,393
North Carolina,Mar 28 2021,13,392
North Carolina,Mar 27 2021,12,391
North Carolina,Mar 26 2021,8,390
North Carolina,Mar 25 2021,10,389
North Carolina,Mar 24 2021,14,388
North Carolina,Mar 23 2021,9,387
North Carolina,Mar 22 2021,9,386
North Carolina,Mar 21 2021,15,385
North Carolina,Mar 20 2021,18,384
North Carolina,Mar 19 2021,18,383
North Carolina,Mar 18 2021,14,382
North Carolina,Mar 17 2021,11,381
North Carolina,Mar 16 2021,9,380
North Carolina,Mar 15 2021,14,379
North Carolina,Mar 14 2021,14,378
North Carolina,Mar 13 2021,14,377
North Carolina,Mar 12 2021,10,376
North Carolina,Mar 11 2021,18,375
North Carolina,Mar 10 2021,21,374
North Carolina,Mar  9 2021,17,373
North Carolina,Mar  8 2021,12,372
North Carolina,Mar  7 2021,21,371
North Carolina,Mar  6 2021,16,370
North Carolina,Mar  5 2021,17,369
North Carolina,Mar  4 2021,21,368
North Carolina,Mar  3 2021,21,367
North Carolina,Mar  2 2021,21,366
North Carolina,Mar  1 2021,21,365
North Carolina,Feb 28 2021,21,364
North Carolina,Feb 27 2021,27,363
North Carolina,Feb 26 2021,32,362
North Carolina,Feb 25 2021,28,361
North Carolina,Feb 24 2021,39,360
North Carolina,Feb 23 2021,27,359
North Carolina,Feb 22 2021,38,358
North Carolina,Feb 21 2021,34,357
North Carolina,Feb 20 2021,29,356
North Carolina,Feb 19 2021,33,355
North Carolina,Feb 18 2021,42,354
North Carolina,Feb 17 2021,40,353
North Carolina,Feb 16 2021,45,352
North Carolina,Feb 15 2021,42,351
North Carolina,Feb 14 2021,52,350
North Carolina,Feb 13 2021,55,349
North Carolina,Feb 12 2021,38,348
North Carolina,Feb 11 2021,62,347
North Carolina,Feb 10 2021,63,346
North Carolina,Feb  9 2021,57,345
North Carolina,Feb  8 2021,67,344
North Carolina,Feb  7 2021,54,343
North Carolina,Feb  6 2021,56,342
North Carolina,Feb  5 2021,69,341
North Carolina,Feb  4 2021,55,340
North Carolina,Feb  3 2021,64,339
